time,consumption_kw
2019-10-15 20:10:00,0.5498047
2019-10-15 21:10:00,1.07958984
2019-10-15 22:10:00,0.24023438
2019-10-15 23:10:00,0.25
2019-10-16 00:10:00,0.11035156
2019-10-16 01:10:00,0.20019532
2019-10-16 02:10:00,0.22949218
2019-10-16 03:10:00,0.20019532
2019-10-16 04:10:00,0.3095703
2019-10-16 05:10:00,0.5703125
2019-10-16 06:10:00,0.30029298
2019-10-16 07:10:00,0.14990234
2019-10-16 08:10:00,0.2001953
2019-10-16 09:10:00,0.09960938
2019-10-16 10:10:00,0.25976562
2019-10-16 11:10:00,0.33007814
2019-10-16 12:10:00,0.11035156
2019-10-16 13:10:00,0.37011718
2019-10-16 14:10:00,0.68945312
2019-10-16 15:10:00,1.06054688
2019-10-16 16:10:00,1.52978516
2019-10-16 17:10:00,1.54003906
2019-10-16 18:10:00,1.12011718
2019-10-16 19:10:00,1.04003908
2019-10-16 20:10:00,1.3798828
2019-10-16 21:10:00,0.93994142
2019-10-16 22:10:00,0.83984374
2019-10-16 23:10:00,0.61035156
2019-10-17 00:10:00,0.1201172
2019-10-17 01:10:00,0.19921874
2019-10-17 02:10:00,0.22070312
2019-10-17 03:10:00,0.21972656
2019-10-17 04:10:00,0.25976564
2019-10-17 05:10:00,0.5703125
2019-10-17 06:10:00,0.3798828
2019-10-17 07:10:00,0.27050782
2019-10-17 08:10:00,0.15917968
2019-10-17 09:10:00,0.1904297
2019-10-17 10:10:00,0.25
2019-10-17 11:10:00,0.27001952
2019-10-17 12:10:00,0.1694336
2019-10-17 13:10:00,0.34082032
2019-10-17 14:10:00,1.3696289
2019-10-17 15:10:00,1.12011718
2019-10-17 16:10:00,2.33007812
2019-10-17 17:10:00,0.87939454
2019-10-17 18:10:00,1.15039062
2019-10-17 19:10:00,1.2998047
2019-10-17 20:10:00,1.44042968
2019-10-17 21:10:00,0.88964844
2019-10-17 22:10:00,0.20996094
2019-10-17 23:10:00,0.1298828
2019-10-18 00:10:00,0.22070314
2019-10-18 01:10:00,0.2392578
2019-10-18 02:10:00,0.10058594
2019-10-18 03:10:00,0.27929688
2019-10-18 04:10:00,0.36083984
2019-10-18 05:10:00,0.75927734
2019-10-18 06:10:00,0.9404297
2019-10-18 07:10:00,0.29003906
2019-10-18 08:10:00,0.22949218
2019-10-18 09:10:00,2.20019532
2019-10-18 10:10:00,0.67041016
2019-10-18 11:10:00,0.10986328
2019-10-18 12:10:00,0.25976562
2019-10-18 13:10:00,1.41015624
2019-10-18 14:10:00,0.81982422
2019-10-18 15:10:00,0.55029298
2019-10-18 16:10:00,0.58984374
2019-10-18 17:10:00,0.74023438
2019-10-18 18:10:00,0.77978516
2019-10-18 19:10:00,1.91992188
2019-10-18 20:10:00,1.05029296
2019-10-18 21:10:00,1.80957032
2019-10-18 22:10:00,0.34033202
2019-10-18 23:10:00,0.27001954
2019-10-19 00:10:00,0.36035156
2019-10-19 01:10:00,0.37988282
2019-10-19 02:10:00,0.39941406
2019-10-19 03:10:00,0.25976562
2019-10-19 04:10:00,0.61035156
2019-10-19 05:10:00,0.73046876
2019-10-19 06:10:00,0.34960936
2019-10-19 07:10:00,0.41015626
2019-10-19 08:10:00,0.25976562
2019-10-19 09:10:00,0.45996094
2019-10-19 10:10:00,0.3203125
